applicant_id,credit_score,debt_to_income_ratio,credit_utilization_ratio,late_payments_24m,annual_income,years_employed,requested_credit_limit,total_credit_exposure,disposable_income,product_type,dti_flag,utilization_flag,late_payment_flag,credit_score_flag,risk_indicator_count,risk_segment,requested_exposure,broad_policy,balanced_policy,strict_policy
100022,615,0.267,0.1865,0,44900.0,4.7,17351.7,22225.84,1522.37,Credit Card,0,0,0,0,0,Low Indicator,17351.7,True,True,True
100023,588,0.399,0.3206,0,50200.0,6.7,55067.82,30610.46,66.95,Personal Loan,0,0,0,0,0,Low Indicator,55067.82,True,True,True
100024,658,0.112,0.1638,0,58700.0,0.6,109979.57,13461.73,1502.1,Personal Loan,0,0,0,0,0,Low Indicator,109979.57,True,True,True
100025,686,0.36,0.2341,1,23200.0,12.9,53594.06,21104.61,156.67,Personal Loan,0,0,0,0,0,Low Indicator,53594.06,True,True,True
100026,720,0.207,0.3351,0,33700.0,3.5,31525.57,11330.24,883.47,Credit Card,0,0,0,0,0,Low Indicator,31525.57,True,True,True
100027,726,0.252,0.2395,0,50100.0,9.6,105964.13,30881.71,752.04,Credit Card,0,0,0,0,0,Low Indicator,105964.13,True,True,True
100028,681,0.34,0.2612,0,54900.0,9.6,20983.07,22864.73,1680.46,Credit Line,0,0,0,0,0,Low Indicator,20983.07,True,True,True
100029,675,0.249,0.1091,0,29000.0,0.0,31901.37,7754.28,623.66,Credit Card,0,0,0,0,0,Low Indicator,31901.37,True,True,True
100030,590,0.211,0.1833,0,23200.0,2.9,104569.52,8723.74,259.05,Credit Card,0,0,0,0,0,Low Indicator,104569.52,True,True,True
100031,689,0.243,0.1602,0,50800.0,4.9,59134.19,20504.59,613.3,Credit Card,0,0,0,0,0,Low Indicator,59134.19,True,True,True
100032,571,0.289,0.2255,0,24700.0,0.0,104057.11,18283.4,599.7,Credit Card,0,0,0,1,1,Moderate Indicator,104057.11,True,True,False
100033,569,0.319,0.1714,1,20300.0,0.0,29054.94,10391.16,237.79,Credit Card,0,0,0,1,1,Moderate Indicator,29054.94,True,True,False
100034,690,0.186,0.2119,0,70800.0,10.2,27568.3,18176.59,2811.79,Credit Line,0,0,0,0,0,Low Indicator,27568.3,True,True,True
100035,742,0.163,0.2613,0,43300.0,0.0,58502.69,17975.84,1247.3,Personal Loan,0,0,0,0,0,Low Indicator,58502.69,True,True,True
100036,616,0.274,0.1841,0,62400.0,2.8,31519.52,39835.24,1096.71,Credit Line,0,0,0,0,0,Low Indicator,31519.52,True,True,True
100037,710,0.147,0.2118,0,17600.0,0.0,76610.11,6169.3,793.26,Credit Card,0,0,0,0,0,Low Indicator,76610.11,True,True,True
100038,730,0.201,0.1232,0,34800.0,24.2,103420.4,10555.83,1259.58,Credit Card,0,0,0,0,0,Low Indicator,103420.4,True,True,True
100039,745,0.165,0.3301,0,100000.0,7.5,33391.19,44573.71,2738.45,Credit Card,0,0,0,0,0,Low Indicator,33391.19,True,True,True
100040,628,0.176,0.1171,0,53500.0,0.0,21162.32,20614.94,2042.9,Credit Card,0,0,0,0,0,Low Indicator,21162.32,True,True,True
100041,676,0.232,0.2005,0,71600.0,0.6,20661.4,34333.78,2085.84,Credit Card,0,0,0,0,0,Low Indicator,20661.4,True,True,True
100042,621,0.077,0.1048,0,35700.0,20.7,29363.2,4854.69,1141.03,Personal Loan,0,0,0,0,0,Low Indicator,29363.2,True,True,True
100043,619,0.328,0.1697,0,73800.0,1.5,38813.07,46239.53,930.82,Credit Line,0,0,0,0,0,Low Indicator,38813.07,True,True,True
100044,687,0.0,0.2731,0,98600.0,0.1,72829.48,10278.78,3237.49,Credit Card,0,0,0,0,0,Low Indicator,72829.48,True,True,True
100045,661,0.121,0.3008,0,147200.0,1.5,63287.47,43661.89,3292.05,Credit Card,0,0,0,0,0,Low Indicator,63287.47,True,True,True
100046,727,0.251,0.1824,0,33600.0,1.2,104003.97,16276.04,312.0,Credit Card,0,0,0,0,0,Low Indicator,104003.97,True,True,True
100047,736,0.011,0.4244,0,49600.0,8.3,15809.53,8864.98,2286.58,Credit Card,0,0,0,0,0,Low Indicator,15809.53,True,True,True
100048,694,0.198,0.2956,0,23100.0,6.7,27131.71,16923.59,965.41,Credit Card,0,0,0,0,0,Low Indicator,27131.71,True,True,True
100049,671,0.4,0.3494,0,36400.0,2.6,78778.09,16596.36,286.64,Credit Card,0,0,0,0,0,Low Indicator,78778.09,True,True,True
100050,603,0.137,0.19,0,44000.0,1.2,106078.1,7423.72,829.77,Credit Card,0,0,0,0,0,Low Indicator,106078.1,True,True,True
100051,625,0.027,0.2518,0,73200.0,2.7,112294.8,10472.28,2442.86,Credit Card,0,0,0,0,0,Low Indicator,112294.8,True,True,True
100052,676,0.198,0.2178,0,32800.0,20.2,54227.04,14668.9,774.36,Personal Loan,0,0,0,0,0,Low Indicator,54227.04,True,True,True
100053,613,0.258,0.147,0,88300.0,2.2,46396.78,33637.31,1415.98,Credit Card,0,0,0,0,0,Low Indicator,46396.78,True,True,True
100054,656,0.207,0.2889,1,12800.0,7.0,26335.01,12897.55,359.43,Credit Card,0,0,0,0,0,Low Indicator,26335.01,True,True,True
100055,723,0.013,0.1169,0,36100.0,2.5,82759.78,3872.67,1539.79,Credit Card,0,0,0,0,0,Low Indicator,82759.78,True,True,True
100056,685,0.214,0.1141,0,52600.0,0.0,19671.04,21771.54,1721.11,Credit Card,0,0,0,0,0,Low Indicator,19671.04,True,True,True
100057,613,0.128,0.268,0,29400.0,5.1,52654.84,7781.73,806.87,Credit Card,0,0,0,0,0,Low Indicator,52654.84,True,True,True
100058,565,0.311,0.2561,0,38200.0,6.6,53984.0,30988.26,778.02,Personal Loan,0,0,0,1,1,Moderate Indicator,53984.0,True,True,False
100059,661,0.233,0.2133,0,103000.0,0.2,65556.67,35303.64,3336.41,Personal Loan,0,0,0,0,0,Low Indicator,65556.67,True,True,True
100060,715,0.281,0.3734,0,64400.0,8.0,88004.02,24043.13,1724.24,Credit Card,0,0,0,0,0,Low Indicator,88004.02,True,True,True
100061,692,0.138,0.2041,0,73300.0,1.9,66934.01,14576.54,2205.04,Credit Card,0,0,0,0,0,Low Indicator,66934.01,True,True,True
100062,687,0.269,0.3291,0,43300.0,6.2,14123.42,24447.88,862.2,Credit Card,0,0,0,0,0,Low Indicator,14123.42,True,True,True
100063,598,0.133,0.1052,0,29500.0,3.3,55764.53,6027.19,684.14,Credit Card,0,0,0,0,0,Low Indicator,55764.53,True,True,True
100064,696,0.301,0.1769,0,50700.0,2.3,32621.36,16436.25,375.07,Credit Card,0,0,0,0,0,Low Indicator,32621.36,True,True,True
100065,714,0.219,0.2156,0,42500.0,2.6,84924.54,16889.67,1419.73,Personal Loan,0,0,0,0,0,Low Indicator,84924.54,True,True,True
100066,686,0.252,0.2332,0,42700.0,0.7,57599.51,27516.83,1259.7,Credit Card,0,0,0,0,0,Low Indicator,57599.51,True,True,True
100067,639,0.413,0.2976,0,49500.0,0.9,59018.96,26997.86,899.45,Credit Card,0,0,0,0,0,Low Indicator,59018.96,True,True,True
100068,722,0.265,0.3097,0,34800.0,0.0,17897.8,18145.91,1056.0,Credit Card,0,0,0,0,0,Low Indicator,17897.8,True,True,True
100069,632,0.248,0.5139,0,21600.0,0.0,52756.11,31082.41,409.77,Credit Card,0,0,0,0,0,Low Indicator,52756.11,True,True,True
100070,686,0.276,0.1037,0,66500.0,2.0,87211.78,22706.61,1429.04,Credit Line,0,0,0,0,0,Low Indicator,87211.78,True,True,True
100071,722,0.219,0.1667,0,93200.0,19.3,36225.98,41598.8,3630.67,Credit Card,0,0,0,0,0,Low Indicator,36225.98,True,True,True
100072,626,0.425,0.3095,0,67600.0,10.3,90080.23,45002.81,290.98,Credit Card,0,0,0,0,0,Low Indicator,90080.23,True,True,True
100073,604,0.154,0.3524,0,54600.0,0.0,112754.96,20699.68,1152.04,Credit Card,0,0,0,0,0,Low Indicator,112754.96,True,True,True
100074,557,0.523,0.2887,0,84900.0,4.4,112635.13,92257.05,1195.56,Personal Loan,1,0,0,1,2,High Indicator,112635.13,True,False,False
100075,718,0.269,0.2289,0,83300.0,9.2,44916.11,43600.41,677.4,Credit Card,0,0,0,0,0,Low Indicator,44916.11,True,True,True
100076,666,0.058,0.1344,0,22900.0,0.0,30617.67,2330.47,1038.67,Credit Card,0,0,0,0,0,Low Indicator,30617.67,True,True,True
100077,674,0.216,0.257,0,83800.0,1.2,19891.6,36161.81,2304.5,Credit Card,0,0,0,0,0,Low Indicator,19891.6,True,True,True
100078,662,0.214,0.2117,0,54200.0,2.9,20016.01,14100.33,1552.39,Credit Card,0,0,0,0,0,Low Indicator,20016.01,True,True,True
100079,700,0.128,0.2536,0,105200.0,4.4,88470.0,22682.51,4603.26,Personal Loan,0,0,0,0,0,Low Indicator,88470.0,True,True,True
100080,493,0.43,0.3768,0,114000.0,0.8,114140.89,71472.18,2372.58,Credit Card,0,0,0,1,1,Moderate Indicator,114140.89,True,True,False
100081,593,0.178,0.1727,0,80900.0,3.8,22235.68,30024.87,2894.62,Credit Card,0,0,0,0,0,Low Indicator,22235.68,True,True,True
100082,609,0.287,0.3123,0,60200.0,1.3,83468.67,53398.48,2080.43,Credit Card,0,0,0,0,0,Low Indicator,83468.67,True,True,True
100083,608,0.405,0.2112,0,63800.0,12.7,35312.23,31824.32,520.56,Credit Card,0,0,0,0,0,Low Indicator,35312.23,True,True,True
100084,593,0.176,0.2202,0,60100.0,16.4,56169.4,23062.99,2394.74,Credit Card,0,0,0,0,0,Low Indicator,56169.4,True,True,True
100085,606,0.194,0.1541,0,37900.0,8.0,105710.22,16235.31,1541.1,Personal Loan,0,0,0,0,0,Low Indicator,105710.22,True,True,True
100086,559,0.476,0.1597,0,35300.0,0.9,78251.99,23656.86,340.3,Credit Card,0,0,0,1,1,Moderate Indicator,78251.99,True,True,False
100087,698,0.276,0.3061,0,39900.0,0.0,58247.35,32050.69,769.26,Credit Card,0,0,0,0,0,Low Indicator,58247.35,True,True,True
100088,745,0.409,0.1905,0,39900.0,4.7,80558.89,20713.3,41.06,Credit Card,0,0,0,0,0,Low Indicator,80558.89,True,True,True
100089,606,0.301,0.1809,0,61000.0,11.4,84054.61,20231.27,959.29,Personal Loan,0,0,0,0,0,Low Indicator,84054.61,True,True,True
100090,734,0.219,0.1867,0,45900.0,2.9,55963.16,14019.74,592.96,Credit Card,0,0,0,0,0,Low Indicator,55963.16,True,True,True
100091,660,0.276,0.3846,0,35200.0,23.7,29195.22,23153.22,1147.52,Credit Card,0,0,0,0,0,Low Indicator,29195.22,True,True,True
100092,690,0.309,0.3725,0,39800.0,9.7,55626.01,25632.27,448.88,Credit Card,0,0,0,0,0,Low Indicator,55626.01,True,True,True
100093,609,0.37,0.1264,0,148500.0,1.4,88293.71,59788.81,1707.64,Credit Card,0,0,0,0,0,Low Indicator,88293.71,True,True,True
100094,598,0.224,0.1181,0,39800.0,6.6,17703.0,12584.21,594.35,Credit Line,0,0,0,0,0,Low Indicator,17703.0,True,True,True
100095,667,0.179,0.3538,0,40300.0,4.4,107039.63,11878.72,1472.12,Credit Card,0,0,0,0,0,Low Indicator,107039.63,True,True,True
100096,551,0.171,0.3761,0,36100.0,8.0,80144.13,19937.17,523.98,Credit Card,0,0,0,1,1,Moderate Indicator,80144.13,True,True,False
100097,610,0.239,0.26,0,59700.0,2.8,57856.53,24953.8,771.71,Credit Card,0,0,0,0,0,Low Indicator,57856.53,True,True,True
100098,604,0.459,0.2987,0,48200.0,0.1,35485.29,26100.74,767.86,Credit Card,0,0,0,0,0,Low Indicator,35485.29,True,True,True
100099,634,0.142,0.1876,0,13800.0,0.0,76614.77,3507.56,451.5,Credit Card,0,0,0,0,0,Low Indicator,76614.77,True,True,True
100100,653,0.254,0.2086,0,107400.0,6.4,59201.11,49371.41,3217.17,Credit Card,0,0,0,0,0,Low Indicator,59201.11,True,True,True
100101,631,0.132,0.0898,0,12000.0,0.0,11305.76,1845.29,516.21,Credit Card,0,0,0,0,0,Low Indicator,11305.76,True,True,True
100102,573,0.254,0.2924,0,35300.0,16.7,56051.08,22457.33,821.95,Personal Loan,0,0,0,1,1,Moderate Indicator,56051.08,True,True,False
100103,732,0.203,0.1355,0,46800.0,2.5,35734.41,17124.18,1368.99,Personal Loan,0,0,0,0,0,Low Indicator,35734.41,True,True,True
100104,632,0.334,0.3024,0,76400.0,5.3,89629.71,57507.13,1374.31,Credit Card,0,0,0,0,0,Low Indicator,89629.71,True,True,True
100105,673,0.307,0.2449,0,40500.0,0.7,78858.58,28184.69,998.09,Credit Line,0,0,0,0,0,Low Indicator,78858.58,True,True,True
100106,581,0.342,0.3402,0,39800.0,0.2,33468.95,20893.89,825.55,Credit Line,0,0,0,0,0,Low Indicator,33468.95,True,True,True
100107,680,0.243,0.168,0,58100.0,4.4,17370.1,11632.2,1929.13,Credit Card,0,0,0,0,0,Low Indicator,17370.1,True,True,True
100108,623,0.273,0.1298,0,43800.0,3.8,57145.44,11703.04,1327.84,Credit Card,0,0,0,0,0,Low Indicator,57145.44,True,True,True
100109,661,0.188,0.1255,0,29600.0,36.7,55580.41,9902.48,797.39,Credit Card,0,0,0,0,0,Low Indicator,55580.41,True,True,True
100110,690,0.188,0.2047,0,92500.0,10.4,90462.34,24095.69,3472.85,Credit Card,0,0,0,0,0,Low Indicator,90462.34,True,True,True
100111,709,0.273,0.2195,0,71300.0,7.3,84929.04,36894.3,785.7,Credit Card,0,0,0,0,0,Low Indicator,84929.04,True,True,True
100112,724,0.218,0.1128,0,44300.0,0.0,14314.61,19360.91,821.02,Credit Card,0,0,0,0,0,Low Indicator,14314.61,True,True,True
100113,686,0.222,0.1739,0,32400.0,0.0,103114.96,19311.54,361.77,Credit Line,0,0,0,0,0,Low Indicator,103114.96,True,True,True
100114,639,0.067,0.1764,0,51600.0,13.4,35806.26,9068.97,2247.46,Credit Card,0,0,0,0,0,Low Indicator,35806.26,True,True,True
100115,651,0.347,0.3106,0,101600.0,0.6,86460.9,67902.46,2429.58,Personal Loan,0,0,0,0,0,Low Indicator,86460.9,True,True,True
100116,670,0.28,0.2322,0,21300.0,0.0,14986.12,11128.97,736.06,Credit Card,0,0,0,0,0,Low Indicator,14986.12,True,True,True
100117,653,0.144,0.2493,0,68000.0,1.4,106671.1,28911.62,2373.68,Credit Card,0,0,0,0,0,Low Indicator,106671.1,True,True,True
100118,647,0.155,0.1999,0,58800.0,6.6,107566.24,14114.61,1096.62,Personal Loan,0,0,0,0,0,Low Indicator,107566.24,True,True,True
100119,643,0.112,0.1874,0,56700.0,11.5,109749.32,8870.1,1817.69,Credit Card,0,0,0,0,0,Low Indicator,109749.32,True,True,True
100120,625,0.182,0.2446,0,27600.0,17.8,54461.63,10909.33,406.51,Credit Card,0,0,0,0,0,Low Indicator,54461.63,True,True,True
100121,603,0.289,0.1413,0,19400.0,0.0,53754.76,12120.18,151.56,Credit Card,0,0,0,0,0,Low Indicator,53754.76,True,True,True
100122,596,0.302,0.3915,0,124300.0,11.9,126806.06,53904.86,2434.92,Personal Loan,0,0,0,0,0,Low Indicator,126806.06,True,True,True
100123,671,0.167,0.2063,0,39200.0,0.0,82471.03,17266.14,1201.4,Credit Card,0,0,0,0,0,Low Indicator,82471.03,True,True,True
100124,601,0.382,0.2576,0,17600.0,0.0,12073.27,15515.33,308.57,Credit Card,0,0,0,0,0,Low Indicator,12073.27,True,True,True
100125,666,0.159,0.2176,0,25200.0,1.9,27532.85,11359.42,565.72,Credit Card,0,0,0,0,0,Low Indicator,27532.85,True,True,True
100126,587,0.166,0.2909,0,32500.0,7.2,17586.97,11663.24,898.05,Credit Card,0,0,0,0,0,Low Indicator,17586.97,True,True,True
100127,633,0.276,0.2661,0,20000.0,0.0,13114.06,15950.32,712.14,Credit Card,0,0,0,0,0,Low Indicator,13114.06,True,True,True
100128,721,0.214,0.2652,0,72900.0,11.0,64598.67,37840.66,906.57,Credit Card,0,0,0,0,0,Low Indicator,64598.67,True,True,True
100129,610,0.273,0.239,0,23300.0,1.9,29489.57,10642.22,375.89,Credit Card,0,0,0,0,0,Low Indicator,29489.57,True,True,True
100130,587,0.203,0.1244,0,113400.0,5.0,43245.81,34002.14,2150.59,Credit Card,0,0,0,0,0,Low Indicator,43245.81,True,True,True
100131,694,0.235,0.02,0,36100.0,0.0,80323.14,13218.5,1096.74,Credit Card,0,0,0,0,0,Low Indicator,80323.14,True,True,True
100132,729,0.313,0.3103,0,51200.0,0.0,19873.29,46060.03,479.34,Personal Loan,0,0,0,0,0,Low Indicator,19873.29,True,True,True
100133,586,0.144,0.2739,0,56200.0,2.7,56067.53,21480.74,1544.6,Credit Card,0,0,0,0,0,Low Indicator,56067.53,True,True,True
100134,727,0.162,0.1028,0,50100.0,0.5,59738.18,13242.21,1990.96,Credit Card,0,0,0,0,0,Low Indicator,59738.18,True,True,True
100135,691,0.245,0.1181,0,23200.0,0.0,54639.12,6521.26,704.96,Credit Card,0,0,0,0,0,Low Indicator,54639.12,True,True,True
100136,574,0.293,0.1442,0,43600.0,0.3,82244.15,23504.11,1267.12,Credit Line,0,0,0,1,1,Moderate Indicator,82244.15,True,True,False
100137,702,0.222,0.1653,0,61300.0,17.5,37634.14,15724.5,2095.28,Credit Card,0,0,0,0,0,Low Indicator,37634.14,True,True,True
100138,617,0.407,0.1957,0,61300.0,10.8,107982.06,35456.26,454.41,Credit Card,0,0,0,0,0,Low Indicator,107982.06,True,True,True
100139,596,0.226,0.2239,0,31400.0,0.4,31894.78,16876.77,458.41,Credit Card,0,0,0,0,0,Low Indicator,31894.78,True,True,True
100140,718,0.206,0.2205,0,17700.0,10.2,12012.33,8090.82,212.52,Credit Card,0,0,0,0,0,Low Indicator,12012.33,True,True,True
100141,695,0.262,0.2277,0,47900.0,0.7,18494.4,29370.94,1420.12,Credit Card,0,0,0,0,0,Low Indicator,18494.4,True,True,True
100142,640,0.203,0.1638,0,102800.0,7.2,30791.96,33129.59,2282.41,Credit Card,0,0,0,0,0,Low Indicator,30791.96,True,True,True
100143,634,0.131,0.111,0,25400.0,0.0,29614.31,5849.32,1157.26,Credit Card,0,0,0,0,0,Low Indicator,29614.31,True,True,True
100144,667,0.198,0.1653,1,14200.0,19.9,11197.18,6292.18,516.02,Credit Card,0,0,0,0,0,Low Indicator,11197.18,True,True,True
100145,652,0.163,0.1469,0,67300.0,3.7,57899.34,11516.3,1405.91,Personal Loan,0,0,0,0,0,Low Indicator,57899.34,True,True,True
100146,685,0.353,0.3002,0,48100.0,8.3,105168.3,35744.85,-135.89,Personal Loan,0,0,0,0,0,Low Indicator,105168.3,True,True,True
100147,599,0.337,0.1949,1,12700.0,5.0,11317.78,8814.62,32.2,Credit Card,0,0,0,0,0,Low Indicator,11317.78,True,True,True
100148,555,0.204,0.1991,0,21100.0,23.6,79358.19,7926.51,580.86,Credit Line,0,0,0,1,1,Moderate Indicator,79358.19,True,True,False
100149,639,0.436,0.1896,0,64400.0,4.2,88978.12,42109.2,313.85,Personal Loan,0,0,0,0,0,Low Indicator,88978.12,True,True,True
100150,647,0.074,0.0616,0,76800.0,17.0,112780.01,14026.51,3082.44,Personal Loan,0,0,0,0,0,Low Indicator,112780.01,True,True,True
100151,632,0.242,0.3734,1,16800.0,3.1,53614.05,10945.86,321.06,Personal Loan,0,0,0,0,0,Low Indicator,53614.05,True,True,True
100152,631,0.179,0.2959,0,33700.0,1.3,55511.97,14021.08,1360.8,Credit Card,0,0,0,0,0,Low Indicator,55511.97,True,True,True
100153,631,0.279,0.2673,0,19300.0,2.8,26729.11,9196.74,610.56,Credit Card,0,0,0,0,0,Low Indicator,26729.11,True,True,True
100154,564,0.162,0.0972,0,93300.0,0.0,31145.97,21393.73,1595.68,Credit Card,0,0,0,1,1,Moderate Indicator,31145.97,True,True,False
100155,695,0.032,0.2203,0,52700.0,6.4,85504.25,4800.06,2450.69,Credit Card,0,0,0,0,0,Low Indicator,85504.25,True,True,True
100156,588,0.111,0.2366,0,72000.0,5.8,56839.72,16305.58,1730.49,Credit Card,0,0,0,0,0,Low Indicator,56839.72,True,True,True
100157,666,0.24,0.3758,0,49900.0,1.2,20983.51,29954.9,1788.97,Credit Card,0,0,0,0,0,Low Indicator,20983.51,True,True,True
100158,725,0.187,0.1574,0,51300.0,0.8,62281.15,11711.03,888.88,Credit Card,0,0,0,0,0,Low Indicator,62281.15,True,True,True
100159,724,0.121,0.2105,0,49600.0,4.4,18984.17,18134.24,1042.88,Credit Line,0,0,0,0,0,Low Indicator,18984.17,True,True,True
100160,681,0.192,0.1305,0,66000.0,0.4,37313.53,21138.42,2903.92,Personal Loan,0,0,0,0,0,Low Indicator,37313.53,True,True,True
100161,545,0.286,0.078,0,76700.0,5.8,90759.14,20491.51,1894.13,Credit Card,0,0,0,1,1,Moderate Indicator,90759.14,True,True,False
100162,705,0.211,0.0609,0,37900.0,0.0,80433.91,7151.0,647.61,Credit Card,0,0,0,0,0,Low Indicator,80433.91,True,True,True
100163,741,0.114,0.1832,0,46900.0,0.0,81225.17,9279.34,2327.3,Credit Card,0,0,0,0,0,Low Indicator,81225.17,True,True,True
100164,678,0.238,0.1565,0,62900.0,17.4,107278.62,20854.19,1966.93,Personal Loan,0,0,0,0,0,Low Indicator,107278.62,True,True,True
100165,577,0.34,0.2881,0,52800.0,5.1,14521.8,35012.36,1060.75,Personal Loan,0,0,0,1,1,Moderate Indicator,14521.8,True,True,False
100166,660,0.174,0.2484,0,54700.0,45.0,31670.99,12188.72,2174.51,Credit Card,0,0,0,0,0,Low Indicator,31670.99,True,True,True
100167,658,0.166,0.1958,0,27300.0,0.0,54349.9,9437.37,1141.07,Credit Card,0,0,0,0,0,Low Indicator,54349.9,True,True,True
100168,691,0.119,0.0564,0,78900.0,8.5,87801.19,16811.67,3214.11,Credit Card,0,0,0,0,0,Low Indicator,87801.19,True,True,True
100169,542,0.444,0.2792,1,23400.0,1.8,15725.42,16135.61,374.09,Personal Loan,0,0,0,1,1,Moderate Indicator,15725.42,True,True,False
100170,717,0.195,0.2223,0,65400.0,4.4,88109.94,28863.41,898.64,Credit Line,0,0,0,0,0,Low Indicator,88109.94,True,True,True
100171,723,0.11,0.2048,0,50000.0,0.7,58632.88,11854.64,2409.39,Credit Card,0,0,0,0,0,Low Indicator,58632.88,True,True,True
100172,532,0.23,0.2419,0,53800.0,1.0,106423.9,30324.43,1837.2,Credit Card,0,0,0,1,1,Moderate Indicator,106423.9,True,True,False
100173,628,0.21,0.2773,0,62600.0,2.3,17962.5,25882.0,1038.81,Credit Card,0,0,0,0,0,Low Indicator,17962.5,True,True,True
100174,668,0.211,0.189,0,61800.0,9.1,16811.51,19922.7,1017.01,Credit Card,0,0,0,0,0,Low Indicator,16811.51,True,True,True
100175,703,0.338,0.2631,0,75500.0,10.4,108883.85,57858.14,1242.27,Credit Line,0,0,0,0,0,Low Indicator,108883.85,True,True,True
100176,606,0.395,0.3081,0,52600.0,1.2,17167.21,46253.6,932.43,Personal Loan,0,0,0,0,0,Low Indicator,17167.21,True,True,True
100177,745,0.089,0.2491,0,49000.0,0.8,59251.16,12474.02,1968.28,Credit Card,0,0,0,0,0,Low Indicator,59251.16,True,True,True
100178,788,0.134,0.1841,0,16100.0,17.6,77767.5,4344.95,305.78,Credit Card,0,0,0,0,0,Low Indicator,77767.5,True,True,True
100179,619,0.388,0.2575,0,45200.0,7.7,16426.54,38939.87,122.07,Credit Card,0,0,0,0,0,Low Indicator,16426.54,True,True,True
100180,710,0.165,0.2191,0,35800.0,0.9,57859.58,17807.65,1294.71,Credit Card,0,0,0,0,0,Low Indicator,57859.58,True,True,True
100181,591,0.41,0.2717,0,110400.0,0.5,121209.13,81437.06,1071.27,Credit Card,0,0,0,0,0,Low Indicator,121209.13,True,True,True
100182,697,0.219,0.1889,0,44700.0,2.9,80283.32,20036.67,902.64,Personal Loan,0,0,0,0,0,Low Indicator,80283.32,True,True,True
100183,623,0.285,0.1797,0,21400.0,0.7,102955.2,10559.71,197.99,Personal Loan,0,0,0,0,0,Low Indicator,102955.2,True,True,True
100184,660,0.276,0.0904,0,27000.0,0.0,29879.42,17376.42,764.82,Credit Card,0,0,0,0,0,Low Indicator,29879.42,True,True,True
