applicant_id,gender,age,num_children,family_size,family_status,education_type,housing_type,own_car,own_property,income_type,occupation_type,annual_income,years_employed,credit_history_months,existing_credit_lines,debt_to_income_ratio,late_payments_24m,has_email,has_work_phone,approved,application_date,product_type,requested_credit_limit,application_channel,application_purpose,monthly_debt_obligation,monthly_expenses,total_outstanding_debt,current_credit_limit,current_credit_balance,credit_score,synthetic_enrichment,synthetic_version,monthly_income,disposable_income,credit_utilization_ratio,total_credit_exposure,income_band,dti_band,credit_history_band,employment_band,payment_risk_indicator,model_target_approval
100036,M,34,0,2,Married,Higher education,Municipal apartment,Y,N,State servant,Core staff,62400.0,2.8,22,3,0.274,0,1,0,0,2026-06-19,Credit Line,31519.52,Web,General Spending,1405.8,2697.49,30668.86,49777.48,9166.38,616,1,v1.0,5200.0,1096.71,0.1841,39835.24,High,Moderate,Developing,Early Career,Low,0
100037,M,42,2,3,Separated,Secondary,House / apartment,Y,N,Pensioner,Drivers,17600.0,0.0,136,1,0.147,0,1,0,0,2026-05-31,Credit Card,76610.11,Web,Debt Consolidation,215.94,457.47,2545.71,17111.45,3623.59,710,1,v1.0,1466.67,793.26,0.2118,6169.3,Low,Low,Long,New,Low,0
100038,F,42,0,1,Married,Secondary,House / apartment,N,Y,Commercial associate,Sales staff,34800.0,24.2,120,3,0.201,0,0,0,0,2025-06-22,Credit Card,103420.4,Branch,General Spending,641.27,999.15,6372.75,33962.11,4183.08,730,1,v1.0,2900.0,1259.58,0.1232,10555.83,Medium,Moderate,Long,Long Tenure,Low,0
100039,M,39,0,1,Married,Secondary,House / apartment,N,N,Working,Laborers,100000.0,7.5,108,1,0.165,0,0,0,1,2026-01-29,Credit Card,33391.19,Web,Emergency Expense,1507.21,4087.67,33111.79,34726.1,11461.92,745,1,v1.0,8333.33,2738.45,0.3301,44573.71,High,Low,Long,Long Tenure,Low,1
100040,M,35,1,3,Married,Higher education,House / apartment,N,Y,Pensioner,Managers,53500.0,0.0,56,1,0.176,0,0,1,1,2025-04-13,Credit Card,21162.32,Mobile App,Emergency Expense,795.65,1619.78,17335.02,28012.52,3279.92,628,1,v1.0,4458.33,2042.9,0.1171,20614.94,Medium,Low,Established,New,Low,1
100041,F,44,0,1,Married,Secondary,House / apartment,N,Y,Commercial associate,Laborers,71600.0,0.6,140,2,0.232,0,1,1,1,2026-04-18,Credit Card,20661.4,Partner,Debt Consolidation,1215.51,2665.32,26263.46,40258.98,8070.32,676,1,v1.0,5966.67,2085.84,0.2005,34333.78,High,Moderate,Long,New,Low,1
100042,M,29,0,2,Married,Higher education,Municipal apartment,Y,Y,Working,Laborers,35700.0,20.7,24,1,0.077,0,0,0,1,2026-03-13,Personal Loan,29363.2,Web,General Spending,206.55,1627.42,2558.3,21914.38,2296.39,621,1,v1.0,2975.0,1141.03,0.1048,4854.69,Medium,Low,Developing,Long Tenure,Low,1
100043,F,26,0,2,Civil marriage,Secondary,House / apartment,Y,N,Working,High skill tech staff,73800.0,1.5,10,1,0.328,0,1,0,0,2025-08-09,Credit Line,38813.07,Mobile App,General Spending,2028.08,3191.1,42057.42,24645.08,4182.11,619,1,v1.0,6150.0,930.82,0.1697,46239.53,High,Moderate,New,Early Career,Low,0
100044,M,53,1,3,Civil marriage,Higher education,House / apartment,N,Y,Commercial associate,Core staff,98600.0,0.1,45,0,0.0,0,1,0,1,2025-02-12,Credit Card,72829.48,Branch,General Spending,0.0,4979.18,0.0,37633.2,10278.78,687,1,v1.0,8216.67,3237.49,0.2731,10278.78,High,Low,Established,New,Low,1
100045,F,47,1,3,Single / not married,Higher education,Rented apartment,Y,Y,Commercial associate,Laborers,147200.0,1.5,67,1,0.121,0,0,0,1,2026-08-28,Credit Card,63287.47,Mobile App,Education,1339.72,7634.9,24024.3,65290.9,19637.59,661,1,v1.0,12266.67,3292.05,0.3008,43661.89,Very High,Low,Long,Early Career,Low,1
100046,M,40,0,2,Separated,Secondary,Municipal apartment,N,Y,Commercial associate,Drivers,33600.0,1.2,112,3,0.251,0,1,0,1,2025-10-05,Credit Card,104003.97,Mobile App,General Spending,739.94,1748.06,7354.86,48903.09,8921.18,727,1,v1.0,2800.0,312.0,0.1824,16276.04,Medium,Moderate,Long,Early Career,Low,1
100047,F,58,0,1,Married,Secondary,House / apartment,Y,Y,Student,Laborers,49600.0,8.3,173,1,0.011,0,1,1,1,2026-07-11,Credit Card,15809.53,Web,Education,39.09,1807.66,575.08,19532.68,8289.9,736,1,v1.0,4133.33,2286.58,0.4244,8864.98,Medium,Low,Long,Long Tenure,Low,1
100048,F,37,1,3,Married,Secondary,House / apartment,N,Y,Working,Sales staff,23100.0,6.7,49,3,0.198,0,1,0,0,2026-02-27,Credit Card,27131.71,Web,General Spending,299.94,659.65,6754.19,34400.9,10169.4,694,1,v1.0,1925.0,965.41,0.2956,16923.59,Low,Low,Established,Experienced,Low,0
100049,M,54,2,4,Married,Secondary,House / apartment,Y,Y,Student,Unknown,36400.0,2.6,80,1,0.4,0,1,0,0,2026-04-30,Credit Card,78778.09,Web,Travel,1128.39,1618.3,9386.96,20632.48,7209.4,671,1,v1.0,3033.33,286.64,0.3494,16596.36,Medium,High,Long,Early Career,Low,0
100050,F,41,0,1,Married,Higher education,House / apartment,Y,N,Working,Core staff,44000.0,1.2,51,0,0.137,0,0,0,1,2026-04-19,Credit Card,106078.1,Partner,Debt Consolidation,557.51,2279.39,5831.56,8380.66,1592.16,603,1,v1.0,3666.67,829.77,0.19,7423.72,Medium,Low,Established,Early Career,Low,1
100051,F,28,0,1,Married,Lower secondary,House / apartment,Y,Y,Commercial associate,Laborers,73200.0,2.7,33,0,0.027,0,1,0,1,2025-05-02,Credit Card,112294.8,Mobile App,Travel,184.76,3472.38,3367.64,28220.95,7104.64,625,1,v1.0,6100.0,2442.86,0.2518,10472.28,High,Low,Developing,Early Career,Low,1
100052,F,60,0,2,Married,Higher education,With parents,Y,N,State servant,Unknown,32800.0,20.2,80,2,0.198,0,0,0,0,2025-08-15,Personal Loan,54227.04,Partner,Debt Consolidation,472.15,1486.82,9782.55,22433.15,4886.35,676,1,v1.0,2733.33,774.36,0.2178,14668.9,Medium,Low,Long,Long Tenure,Low,0
100053,F,50,1,2,Single / not married,Incomplete higher,House / apartment,Y,N,Working,Laborers,88300.0,2.2,55,2,0.258,0,1,1,0,2025-10-18,Credit Card,46396.78,Mobile App,Emergency Expense,1667.83,4274.52,25005.8,58734.22,8631.51,613,1,v1.0,7358.33,1415.98,0.147,33637.31,High,Moderate,Established,Early Career,Low,0
100054,F,38,4,6,Married,Academic degree,House / apartment,N,N,Student,Cooking staff,12800.0,7.0,78,2,0.207,1,1,1,0,2025-11-07,Credit Card,26335.01,Mobile App,Emergency Expense,234.24,473.0,4731.59,28263.38,8165.96,656,1,v1.0,1066.67,359.43,0.2889,12897.55,Low,Moderate,Long,Experienced,Moderate,0
100055,F,47,0,2,Married,Higher education,House / apartment,Y,N,State servant,Managers,36100.0,2.5,154,1,0.013,0,0,0,1,2025-01-28,Credit Card,82759.78,Mobile App,General Spending,37.73,1430.81,889.38,25511.66,2983.29,723,1,v1.0,3008.33,1539.79,0.1169,3872.67,Medium,Low,Long,Early Career,Low,1
100056,M,35,0,1,Single / not married,Secondary,House / apartment,Y,N,Pensioner,Laborers,52600.0,0.0,75,1,0.214,0,0,0,0,2025-12-07,Credit Card,19671.04,Mobile App,Education,1040.57,1621.65,19903.7,16368.65,1867.84,685,1,v1.0,4383.33,1721.11,0.1141,21771.54,Medium,Moderate,Long,New,Low,0
100057,M,49,0,2,Civil marriage,Lower secondary,House / apartment,N,Y,Commercial associate,Medicine staff,29400.0,5.1,46,0,0.128,0,1,0,0,2025-04-07,Credit Card,52654.84,Web,Debt Consolidation,332.28,1310.85,5012.75,10331.14,2768.98,613,1,v1.0,2450.0,806.87,0.268,7781.73,Low,Low,Established,Experienced,Low,0
100058,M,21,0,2,Widow,Higher education,House / apartment,N,N,Working,Core staff,38200.0,6.6,0,4,0.311,0,1,1,0,2026-04-09,Personal Loan,53984.0,Branch,General Spending,1062.6,1342.71,19214.79,45977.26,11773.47,565,1,v1.0,3183.33,778.02,0.2561,30988.26,Medium,Moderate,New,Experienced,Low,0
100059,M,28,0,1,Married,Lower secondary,With parents,N,N,Working,Laborers,103000.0,0.2,42,3,0.233,0,0,0,1,2026-03-02,Personal Loan,65556.67,Branch,General Spending,1868.42,3378.5,24110.81,52486.48,11192.83,661,1,v1.0,8583.33,3336.41,0.2133,35303.64,Very High,Moderate,Established,New,Low,1
100060,M,50,3,5,Single / not married,Higher education,Rented apartment,N,Y,Working,Sales staff,64400.0,8.0,143,0,0.281,0,1,1,1,2026-07-29,Credit Card,88004.02,Branch,Debt Consolidation,1561.58,2080.85,14882.12,24530.82,9161.01,715,1,v1.0,5366.67,1724.24,0.3734,24043.13,High,Moderate,Long,Long Tenure,Low,1
100061,M,37,0,2,Single / not married,Incomplete higher,Rented apartment,N,N,Commercial associate,Sales staff,73300.0,1.9,85,0,0.138,0,1,0,1,2026-04-09,Credit Card,66934.01,Mobile App,Travel,978.93,2924.36,10104.57,21910.31,4471.97,692,1,v1.0,6108.33,2205.04,0.2041,14576.54,High,Low,Long,Early Career,Low,1
100062,F,42,2,3,Married,Lower secondary,House / apartment,Y,N,Commercial associate,Drivers,43300.0,6.2,124,2,0.269,0,1,1,0,2025-08-17,Credit Card,14123.42,Branch,Emergency Expense,981.69,1764.44,14726.68,29542.47,9721.2,687,1,v1.0,3608.33,862.2,0.3291,24447.88,Medium,Moderate,Long,Experienced,Low,0
100063,M,25,0,1,Single / not married,Higher education,Rented apartment,N,Y,Working,Unemployed,29500.0,3.3,16,1,0.133,0,1,0,0,2026-08-26,Credit Card,55764.53,Mobile App,General Spending,325.78,1448.41,4082.81,18487.19,1944.38,598,1,v1.0,2458.33,684.14,0.1052,6027.19,Low,Low,Developing,Experienced,Low,0
100064,M,60,2,4,Married,Higher education,With parents,Y,Y,Working,Laborers,50700.0,2.3,160,1,0.301,0,1,0,0,2025-09-13,Credit Card,32621.36,Branch,Emergency Expense,1227.4,2622.53,10695.65,32447.95,5740.6,696,1,v1.0,4225.0,375.07,0.1769,16436.25,Medium,Moderate,Long,Early Career,Low,0
100065,F,53,0,2,Civil marriage,Higher education,Rented apartment,N,N,Commercial associate,Sales staff,42500.0,2.6,142,2,0.219,0,0,0,0,2025-07-22,Personal Loan,84924.54,Branch,General Spending,676.22,1445.72,9498.62,34283.1,7391.05,714,1,v1.0,3541.67,1419.73,0.2156,16889.67,Medium,Moderate,Long,Early Career,Low,0
100066,M,37,0,2,Single / not married,Incomplete higher,Rented apartment,Y,Y,State servant,Cooking staff,42700.0,0.7,37,2,0.252,0,1,1,0,2026-07-19,Credit Card,57599.51,Mobile App,General Spending,817.87,1480.76,17696.0,42112.44,9820.83,686,1,v1.0,3558.33,1259.7,0.2332,27516.83,Medium,Moderate,Established,New,Low,0
100067,F,35,3,4,Single / not married,Incomplete higher,House / apartment,Y,Y,Working,Sales staff,49500.0,0.9,49,2,0.413,0,1,1,0,2025-08-19,Credit Card,59018.96,Web,Travel,1582.08,1643.47,14713.84,41275.29,12284.02,639,1,v1.0,4125.0,899.45,0.2976,26997.86,Medium,High,Established,New,Low,0
100068,M,51,0,2,Married,Secondary,House / apartment,N,N,Pensioner,Sales staff,34800.0,0.0,121,0,0.265,0,1,0,1,2025-02-17,Credit Card,17897.8,Partner,General Spending,667.41,1176.59,14971.75,10250.78,3174.16,722,1,v1.0,2900.0,1056.0,0.3097,18145.91,Medium,Moderate,Long,New,Low,1
100069,F,61,1,2,Separated,Higher education,House / apartment,N,N,Pensioner,Unemployed,21600.0,0.0,57,4,0.248,0,0,0,0,2025-10-20,Credit Card,52756.11,Mobile App,General Spending,391.28,998.95,4127.75,52454.75,26954.66,632,1,v1.0,1800.0,409.77,0.5139,31082.41,Low,Moderate,Established,New,Low,0
100070,F,50,2,4,Separated,Higher education,House / apartment,Y,N,Commercial associate,Drivers,66500.0,2.0,109,2,0.276,0,1,0,0,2026-05-11,Credit Line,87211.78,Branch,General Spending,1229.94,2882.69,18871.64,36980.11,3834.97,686,1,v1.0,5541.67,1429.04,0.1037,22706.61,High,Moderate,Long,Early Career,Low,0
100071,M,63,0,2,Separated,Secondary,House / apartment,Y,N,Working,Sales staff,93200.0,19.3,194,0,0.219,0,1,0,1,2025-04-29,Credit Card,36225.98,Partner,General Spending,1594.42,2541.58,35489.31,36650.9,6109.49,722,1,v1.0,7766.67,3630.67,0.1667,41598.8,High,Moderate,Long,Long Tenure,Low,1
100072,M,29,1,3,Married,Secondary,House / apartment,N,Y,Working,Sales staff,67600.0,10.3,42,3,0.425,0,1,1,0,2025-10-16,Credit Card,90080.23,Mobile App,General Spending,2523.5,2818.85,23307.21,70098.64,21695.6,626,1,v1.0,5633.33,290.98,0.3095,45002.81,High,High,Established,Long Tenure,Low,0
100073,F,30,2,3,Married,Secondary,Co-op apartment,Y,N,Pensioner,Managers,54600.0,0.0,13,1,0.154,0,0,1,0,2025-03-22,Credit Card,112754.96,Mobile App,General Spending,682.96,2715.0,11856.0,25097.93,8843.68,604,1,v1.0,4550.0,1152.04,0.3524,20699.68,Medium,Low,Developing,New,Low,0
100074,F,26,4,6,Married,Incomplete higher,House / apartment,N,Y,Commercial associate,Sales staff,84900.0,4.4,20,3,0.523,0,0,1,0,2026-03-04,Personal Loan,112635.13,Web,Debt Consolidation,3607.87,2271.57,72270.88,69220.64,19986.17,557,1,v1.0,7075.0,1195.56,0.2887,92257.05,High,Very High,Developing,Experienced,Low,0
100075,F,44,1,2,Married,Secondary,Rented apartment,N,Y,Commercial associate,Laborers,83300.0,9.2,122,1,0.269,0,1,1,0,2025-10-24,Credit Card,44916.11,Branch,Education,1981.85,4282.42,34126.23,41389.72,9474.18,718,1,v1.0,6941.67,677.4,0.2289,43600.41,High,Moderate,Long,Long Tenure,Low,0
100076,F,41,0,1,Married,Higher education,Co-op apartment,Y,Y,Pensioner,Laborers,22900.0,0.0,44,0,0.058,0,1,1,0,2025-07-25,Credit Card,30617.67,Web,General Spending,125.64,744.02,1087.36,9246.36,1243.11,666,1,v1.0,1908.33,1038.67,0.1344,2330.47,Low,Low,Established,New,Low,0
100077,M,38,1,3,Married,Incomplete higher,Municipal apartment,Y,Y,Working,Managers,83800.0,1.2,51,0,0.216,0,1,0,1,2025-05-22,Credit Card,19891.6,Web,Travel,1782.73,2896.1,29833.89,24620.35,6327.92,674,1,v1.0,6983.33,2304.5,0.257,36161.81,High,Moderate,Established,Early Career,Low,1
100078,M,48,1,3,Married,Secondary,House / apartment,Y,Y,Working,Sales staff,54200.0,2.9,44,0,0.214,0,1,0,1,2025-12-18,Credit Card,20016.01,Mobile App,Emergency Expense,977.74,1986.54,10132.27,18745.06,3968.06,662,1,v1.0,4516.67,1552.39,0.2117,14100.33,Medium,Moderate,Established,Early Career,Low,1
100079,M,53,1,3,Married,Secondary,House / apartment,Y,Y,Working,Cooking staff,105200.0,4.4,107,0,0.128,0,1,0,1,2026-02-22,Personal Loan,88470.0,Partner,General Spending,1096.84,3066.57,15880.03,26824.13,6802.48,700,1,v1.0,8766.67,4603.26,0.2536,22682.51,Very High,Low,Long,Experienced,Low,1
